qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.7387,0.14221,5e-06,0.025
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.1954,0.175164,6e-06,0.025
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.0506,0.18777,7e-06,0.025
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.2887,0.184228,7e-06,0.025
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.1054,0.171725,7e-06,0.025
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.6879,0.154719,7e-06,0.025
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.199,0.13744,6e-06,0.025
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.7522,0.12139,6e-06,0.025
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.3334,0.10767,5e-06,0.025
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.908,0.096773,5e-06,0.025
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.5071,0.086663,5e-06,0.025
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.169,0.077866,4e-06,0.025
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.8582,0.070681,4e-06,0.025
True,15.0,14.0,16.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.4559,0.061343,3e-06,0.025
True,17.0,16.0,18.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.8871,0.049107,3e-06,0.025
True,19.0,18.0,20.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.5962,0.042752,3e-06,0.025
True,21.0,20.0,22.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.1938,0.0352,2e-06,0.025
True,23.5,22.0,25.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.8853,0.029573,2e-06,0.025
True,26.5,25.0,28.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.5088,0.023684,2e-06,0.025
True,30.0,28.0,32.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.2433,0.020022,1e-06,0.025
True,34.5,32.0,37.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.97817,0.015596,1e-06,0.025
True,40.0,37.0,43.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.71645,0.010766,1e-06,0.025
True,47.5,43.0,52.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.50125,0.007353,1e-06,0.025
True,58.5,52.0,65.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.29184,0.004425,0.0,0.025
True,75.0,65.0,85.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.15184,0.002483,0.0,0.025
True,102.5,85.0,120.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.066671,0.00122,0.0,0.025
True,140.0,120.0,160.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.024884,0.000541,0.0,0.025
True,175.0,160.0,190.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.010576,0.000276,0.0,0.025
True,205.0,190.0,220.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.005947,0.00018,0.0,0.025
True,235.0,220.0,250.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.003255,0.000113,0.0,0.025
True,275.0,250.0,300.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.001622,6.3e-05,0.0,0.025
True,350.0,300.0,400.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.000557,2.4e-05,0.0,0.025
True,950.0,400.0,1500.0,True,91.1876,76.1876,106.1876,True,1.4,1.2,1.6,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.9e-05,1e-06,0.0,0.025
